id,character_id,sprite,cat_speaking,en,effets,room_id,time,start_condition,variant,item_given,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,next_line_1,next_line_2,next_line_3,next_line_4,next_line_5,next_line_6,fr
wolf-witch_[worried]___shownhoney-3__%°@#,wolf-witch,worried,FALSE,This goes on for some time.,,,,,shownhoney-3,,,,,,,,wolf-witch_[angry]___shownhoney-4__%°@#,,,,,,
wolf-witch_[angry]___shownhoney-4__%°@#,wolf-witch,angry,FALSE,"Once its feast has finished, it prepares itself for a single, powerful, magnificent cough. You hold on tightly to your hat as it breathes in.",,,,,shownhoney-4,,,,,,,,wolf-witch_[angry]___shownhoney-5__%°@#,,,,,,
wolf-witch_[angry]___shownhoney-5__%°@#,wolf-witch,angry,FALSE,"The beast huffs and puffs and very nearly blows down the mansion, rattling its foundations and shaking its spires.",,,,,shownhoney-5,,,,,,,,wolf-witch_[happy]___shownhoney-6__%°@#vickyskey,,,,,,
wolf-witch_[happy]___shownhoney-6__%°@#vickyskey,wolf-witch,happy,FALSE,"Along with the hair and pus, you spy a glint of gold in the abnormally large hairball it has left on the ground.",,,,,shownhoney-6,vickyskey,,,,,,,wolf-witch_[happy]___shownhoney-7__%°@#,,,,,,
wolf-witch_[happy]___shownhoney-7__%°@#,wolf-witch,happy,FALSE,"It’s wagging its tail and looking at you expectantly. Fine, you suppose.",,,,,shownhoney-7,,,,,,,,wolf-witch_[happy]___shownhoney-8__%°@#motive-bigbadwolf,,,,,,
wolf-witch_[happy]___shownhoney-8__%°@#motive-bigbadwolf,wolf-witch,happy,FALSE,You gently pet it and it goes back to sleep with maybe the biggest smile you’ve ever seen on anything living.,,,,,shownhoney-8,motive-bigbadwolf,,,,,,,wolf-witch_[neutral]____default_%°@#,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
time-witch_[neutral]___vanished_intro_%°c@#met-time-witch,time-witch,neutral,TRUE,"All the clocks here are out of tune. They all display wildly different times, and can’t even agree on how long a second should last.",,,,intro,vanished,met-time-witch,,,,,,,time-witch_[neutral]___vanished-intro-2__%°c@#,,,,,,
time-witch_[neutral]___vanished-intro-2__%°c@#,time-witch,neutral,TRUE,It sounds like a thousand typewriters racing each other.,,,,,vanished-intro-2,,,,,,,,time-witch_[angry]___intro-3__%°@#,,,,,,
time-witch_[angry]___intro-3__%°@#,time-witch,angry,FALSE,STOP RIGHT THERE! Her Heavenly Highness’ Horological Office is closed for the day! No visitors!,,,,,intro-3,,,,,,,,time-witch_[neutral]___intro-4__%°@#,,,,,,
time-witch_[neutral]___intro-4__%°@#,time-witch,neutral,FALSE,"Unless, of course, you’re here for tea and biscuits. There’s always time for tea and biscuits.",,,,,intro-4,,,,,,,,time-witch_[neutral]____default_%°@#,,,,,,
time-witch_[neutral]____default_%°@#,time-witch,neutral,FALSE,You're right on time!,,,,default,,,What do you do here?,What do you know about the murder?,I need to show you something.,Gotta go.,,,time-witch_[displeased]___interview__%°c@#,time-witch_[angry]____opinion_%°@#,time-witch_[neutral]____showingitem_%°@#,time-witch_[neutral]___goodbye__%°@wiggle#,,,
time-witch_[displeased]___interview__%°c@#,time-witch,displeased,TRUE,"She thinks for a second, and you swear you can hear the cogs in her head turning. There’s an audible “click” when she’s ready to speak.",,,,,interview,,,,,,,,time-witch_[neutral]___interview-2__%°@#,,,,,,
time-witch_[neutral]___interview-2__%°@#,time-witch,neutral,FALSE,"Special Agent Mithra Noume, Her Majesty’s Horological Office, appointed caretaker of timeline 862bis – that’s yours – three-time savior of the waking world –",,,,,interview-2,,,,,,,,time-witch_[neutral]___interview-3__%°@turn#,,,,,,
time-witch_[neutral]___interview-3__%°@turn#,time-witch,neutral,FALSE,"– twice decorated by the order of the clockwork crane, and, if I may say so myself, I bake some damn fine scones in my spare time.",turn,,,,interview-3,,,,,,,,time-witch_[happy]___interview-4__%°@#,,,,,,
time-witch_[happy]___interview-4__%°@#,time-witch,happy,FALSE,Heh. Spare time.,,,,,interview-4,,,,,,,,time-witch_[neutral]___interview-5__%°@turn#,,,,,,
time-witch_[neutral]___interview-5__%°@turn#,time-witch,neutral,FALSE,Get it?,turn,,,,interview-5,,,,,,,,time-witch_[worried]___interview-6__%°@#,,,,,,
time-witch_[worried]___interview-6__%°@#,time-witch,worried,FALSE,"Whatever. If you laugh at that, it messes up the timeline anyway.",,,,,interview-6,,,,,,,,time-witch_[displeased]___interview-7__%°@#,,,,,,
time-witch_[displeased]___interview-7__%°@#,time-witch,displeased,FALSE,"Then we’d really be in the weeds. They’re not keen on sending cleanup crews this far out in the boonies, so I’d have to handle it myself.",,,,,interview-7,,,,,,,,time-witch_[neutral]___interview-8__%°@#,,,,,,
time-witch_[neutral]___interview-8__%°@#,time-witch,neutral,FALSE,"Great job, everyone. Continuity preserved. You may proceed to ask for a little milk in your tea.",,,,,interview-8,,,,,,,,time-witch_[neutral]___interview-9__%°c@#,,,,,,
time-witch_[neutral]___interview-9__%°c@#,time-witch,neutral,TRUE,You happily oblige.,,,,,interview-9,,,,,,,,time-witch_[happy]___interview-10__%°@#,,,,,,
time-witch_[happy]___interview-10__%°@#,time-witch,happy,FALSE,"Speaking of continuity, has Temmie told you you need to knock 5 times on Germaine’s door down in the garden to get her to open up, or not yet?",,,,,interview-10,,,,,,,,time-witch_[neutral]___interview-11__%°@#secretknock,,,,,,
time-witch_[neutral]___interview-11__%°@#secretknock,time-witch,neutral,FALSE,It’s not a secret knock or anything. It’s mostly a matter of annoying her until she gives in.,,,,,interview-11,secretknock,,,,,,,time-witch_[worried]___interview-12__%°@#,,,,,,
time-witch_[worried]___interview-12__%°@#,time-witch,worried,FALSE,O-Oh. She hadn’t. You weren’t supposed to know that yet.,,,,,interview-12,,,,,,,,time-witch_[neutral]____default_%°@#,,,,,,
time-witch_[displeased]___opinion__%°@#,time-witch,displeased,FALSE,Oh well. I’m sure it’s no big deal. Happy trails!,,,,,interview-13,,,,,,,,time-witch_[angry]____opinion_%°@#,,,,,,
time-witch_[angry]____opinion_%°@#,time-witch,angry,FALSE,"Hmph. The question is, what do YOU know about the murder?",,,,opinion,,,,,,,,,time-witch_[neutral]___opinion-3__%°@#,,,,,,
time-witch_[neutral]___opinion-3__%°@#,time-witch,neutral,FALSE,"I mean, at this point in time. I don’t want to give you information you’re not supposed to have yet.",,,,,opinion-3,,,,,,,,time-witch_[sad]___opinion-4__%°@#,,,,,,
time-witch_[sad]___opinion-4__%°@#,time-witch,sad,FALSE,"I’m also not supposed to say that, because now you know there’s information to be found. Be a dear and pretend you’ll be normal about it.",,,,,opinion-4,,,,,,,,time-witch_[sad]___opinion-5__%°c@#,,,,,,
time-witch_[sad]___opinion-5__%°c@#,time-witch,sad,TRUE,"You sagely nod, saying you’ll take her advice into consideration.",,,,,opinion-5,,,,,,,,time-witch_[angry]___opinion-6__%°@#,,,,,,
time-witch_[angry]___opinion-6__%°@#,time-witch,angry,FALSE,Have you at LEAST found the scarecrow already?,,,,,opinion-6,,,,,,,,time-witch_[displeased]___opinion-7__%°@#,,,,,,
time-witch_[displeased]___opinion-7__%°@#,time-witch,displeased,FALSE,"No, no, I must be getting my strings mixed up. That one’s gotta be next year. Or maybe last year. Doesn’t matter. Same thing.",,,,,opinion-7,,,,,,,,time-witch_[neutral]___opinion-8__%°@#,,,,,,
time-witch_[neutral]___opinion-8__%°@#,time-witch,neutral,FALSE,Heh. Next year.,,,,,opinion-8,,,,,,,,time-witch_[happy]___opinion-9__%°@#,,,,,,
time-witch_[happy]___opinion-9__%°@#,time-witch,happy,FALSE,...Get it?,,,,,opinion-9,,,,,,,,time-witch_[worried]___opinion-10__%°@#,,,,,,
time-witch_[worried]___opinion-10__%°@#,time-witch,worried,FALSE,"Whatever. It’s like a clock, you know?",,,,,opinion-10,,,,,,,,time-witch_[neutral]___opinion-11__%°@#,,,,,,
time-witch_[neutral]___opinion-11__%°@#,time-witch,neutral,FALSE,Tick-tock.,,,,,opinion-11,,,,,,,,time-witch_[neutral]___opinion-12__%°@#,,,,,,
time-witch_[neutral]___opinion-12__%°@#,time-witch,neutral,FALSE,There’s no difference between time and the machinery that defines it. The gears are the concept. The understanding of reality is the reality.,,,,,opinion-12,,,,,,,,time-witch_[worried]___opinion-13__%°@#,,,,,,
time-witch_[worried]___opinion-13__%°@#,time-witch,worried,FALSE,Stop thinking this is irrelevant! I can hear you all the way from back then. It’s a clock! Can you see? It's important that you see.,,,,,opinion-13,,,,,,,,time-witch_[displeased]___opinion-14__%°@#,,,,,,
time-witch_[displeased]___opinion-14__%°@#,time-witch,displeased,FALSE,"I mean, I guess it’s not news, really. It’s always clocks all the way down. It’s all cogs and gears and chains, turning, clicking.",,,,,opinion-14,,,,,,,,time-witch_[neutral]___opinion-15__%°@#,,,,,,
time-witch_[neutral]___opinion-15__%°@#,time-witch,neutral,FALSE,"But it’s especially true here! That’s not a spoiler, too, I’m pretty sure.",,,,,opinion-15,,,,,,,,time-witch_[neutral]___opinion-16__%°@#,,,,,,
time-witch_[neutral]___opinion-16__%°@#,time-witch,neutral,FALSE,"You feel it already, right? Why else would you have been summoned? Surely you can put 2 and 2 together.",,,,,opinion-16,,,,,,,,time-witch_[neutral]___opinion-17__%°@#,,,,,,
time-witch_[neutral]___opinion-17__%°@#,time-witch,neutral,FALSE,"If it was just about magic, they wouldn’t need to dial for help.",,,,,opinion-17,,,,,,,,time-witch_[neutral]___opinion-18__%°@#,,,,,,
time-witch_[neutral]___opinion-18__%°@#,time-witch,neutral,FALSE,"7 witches in this house, and yet not a trace of a zap or a woosh or a sparkle here. Not even a tiny, itty-bitty little ka-zam.",,,,,opinion-18,,,,,,,,time-witch_[worried]___opinion-19__%°@#mundane,,,,,,
time-witch_[worried]___opinion-19__%°@#mundane,time-witch,worried,FALSE,How does a witch kill a witch without any magic being used at any point?,,,,,opinion-19,mundane,,,,,,,time-witch_[neutral]____default_%°@#,,,,,,
time-witch_[neutral]____showingitem_%°@#,time-witch,neutral,FALSE,"Yes, yes. Let’s get it over with. I don’t have all the time in the world, you know.",,,,showingitem,,,,,,,,,[clues],,,,,,
time-witch_[happy]____shownitem-other_%°@#,time-witch,happy,FALSE,"Oh yeah, that’s a crucial piece of the puzzle. For sure. You’re doing great. Keep up the good work!",,,,shownitem-other,,,,,,,,,time-witch_[neutral]____default_%°@#,,,,,,
time-witch_[sad]____shownitem-depart_%°@#,time-witch,sad,FALSE,"Leaving, going, coming back. It’s all ebb and flow.",,,,shownitem-depart,,,,,,,,,time-witch_[neutral]___shownitem-depart-2__%°@#,,,,,,
time-witch_[neutral]___shownitem-depart-2__%°@#,time-witch,neutral,FALSE,Tick and tock.,,,,,shownitem-depart-2,,,,,,,,time-witch_[neutral]____default_%°@#,,,,,,
time-witch_[angry]____shownitem-tod-any_%°@#,time-witch,angry,FALSE,Her time of death? Says what incompetent clock?,,,,shownitem-tod-any,,,,,,,,,time-witch_[angry]___shownitem-tod-any-2__%°@#,,,,,,
time-witch_[angry]___shownitem-tod-any-2__%°@#,time-witch,angry,FALSE,We all die when it’s our time. Any timepiece that claims to know what time that is in detail is a fraud and a charlatan.,,,,,shownitem-tod-any-2,,,,,,,,time-witch_[neutral]____default_%°@#,,,,,,
time-witch_[sad]____shownitem-alarmclock_%°c@#,time-witch,sad,TRUE,"She eyes it like a tiger in a zoo, looking over at the wildcats in the next exhibit. A strange mixture of judgment, pity and motherly instinct.",,,,shownitem-alarmclock,,,,,,,,,time-witch_[sad]___shownitem-alarmclock2__%°@#,,,,,,
time-witch_[sad]___shownitem-alarmclock2__%°@#,time-witch,sad,FALSE,You poor thing! What did they do to you?,,,,,shownitem-alarmclock2,,,,,,,,time-witch_[sad]___shownitem-alarmclock3__%°@#,,,,,,
time-witch_[sad]___shownitem-alarmclock3__%°@#,time-witch,sad,FALSE,"Here, don’t worry, I’ll fix you right up. For free, too. Hush, don’t start, I’m not having any of this.",,,,,shownitem-alarmclock3,,,,,,,,time-witch_[sad]___shownitem-alarmclock4__%°c@#,,,,,,
time-witch_[sad]___shownitem-alarmclock4__%°c@#,time-witch,sad,TRUE,"The doctor takes her patient to the operating table. “Scalpel”, she says. “Screwdriver”. You don't get a say in the matter.",,,,,shownitem-alarmclock4,,,,,,,,time-witch_[sad]___shownitem-alarmclock5__%°c@#,,,,,,
time-witch_[sad]___shownitem-alarmclock5__%°c@#,time-witch,sad,TRUE,"Some time later, the exhausted surgeon and her feline assistant share scones after a successful operation.",,,,,shownitem-alarmclock5,,,,,,,,time-witch_[neutral]___shownitem-alarmclock6__%°@#,,,,,,
time-witch_[neutral]___shownitem-alarmclock6__%°@#,time-witch,neutral,FALSE,"She’ll make it, I think. I mean, her cogs will keep on turning. I just hope she can recover mentally. That’s always the hardest with this type of thing.",,,,,shownitem-alarmclock6,,,,,,,,time-witch_[sad]___shownitem-alarmclock7__%°@#,,,,,,
time-witch_[sad]___shownitem-alarmclock7__%°@#,time-witch,sad,FALSE,"Breaks my heart, you know. There’s nothing sadder than a clock being forced to lie.",,,,,shownitem-alarmclock7,,,,,,,,time-witch_[neutral]___shownitem-alarmclock8__%°@#,,,,,,
time-witch_[neutral]___shownitem-alarmclock8__%°@#,time-witch,neutral,FALSE,She hands you back Vicky’s alarm clock.,,,,,shownitem-alarmclock8,,,,,,,,time-witch_[neutral]___shownitem-alarmclock9__%°@#alarmclock-fixed,,,,,,
time-witch_[neutral]___shownitem-alarmclock9__%°@#alarmclock-fixed,time-witch,neutral,FALSE,"Either you just spent a lot less time in that workshop than you thought, or that clock is now pointing to an hour earlier than it did when you came in.",,,,,shownitem-alarmclock9,alarmclock-fixed,,,,,,,time-witch_[neutral]___shownitem-alarmclock10__%°@#,,,,,,
time-witch_[neutral]___shownitem-alarmclock10__%°@#,time-witch,neutral,FALSE,Heh. Less time than you thought.,,,,,shownitem-alarmclock10,,,,,,,,time-witch_[neutral]___shownitem-alarmclock11__%°@#,,,,,,
time-witch_[neutral]___shownitem-alarmclock11__%°@#,time-witch,neutral,FALSE,Get it?,,,,,shownitem-alarmclock11,,,,,,,,time-witch_[neutral]___shownitem-alarmclock12__%°@#,,,,,,
time-witch_[neutral]___shownitem-alarmclock12__%°@#,time-witch,neutral,FALSE,Whatever.,,,,,shownitem-alarmclock12,,,,,,,,time-witch_[displeased]___shownitem-alarmclock13__%°@#,,,,,,
time-witch_[displeased]___shownitem-alarmclock13__%°@#,time-witch,displeased,FALSE,"Say. You know, I’ve been thinking. ",,,,,shownitem-alarmclock13,,,,,,,,time-witch_[displeased]___shownitem-alarmclock14__%°@#,,,,,,
time-witch_[displeased]___shownitem-alarmclock14__%°@#,time-witch,displeased,FALSE,"I mean, you know how Vicky’s room is on top of the tower at night.",,,,,shownitem-alarmclock14,,,,,,,,time-witch_[displeased]___shownitem-alarmclock15__%°@#,,,,,,
time-witch_[displeased]___shownitem-alarmclock15__%°@#,time-witch,displeased,FALSE,You know. Right above the hallway.,,,,,shownitem-alarmclock15,,,,,,,,time-witch_[sad]___shownitem-alarmclock16__%°@#,,,,,,
time-witch_[sad]___shownitem-alarmclock16__%°@#,time-witch,sad,FALSE,And she fell to her death. Well. Presumably.,,,,,shownitem-alarmclock16,,,,,,,,time-witch_[displeased]___shownitem-alarmclock17__%°@#motive-accident,,,,,,
time-witch_[displeased]___shownitem-alarmclock17__%°@#motive-accident,time-witch,displeased,FALSE,"If that sleepyhead set her alarm too early, and just walked out her door still half-asleep without paying attention…",,,,,shownitem-alarmclock17,motive-accident,,,,,,,time-witch_[displeased]___shownitem-alarmclock18__%°@#,,,,,,
time-witch_[displeased]___shownitem-alarmclock18__%°@#,time-witch,displeased,FALSE,I mean.,,,,,shownitem-alarmclock18,,,,,,,,time-witch_[worried]___shownitem-alarmclock19__%°@#,,,,,,
time-witch_[worried]___shownitem-alarmclock19__%°@#,time-witch,worried,FALSE,"Surely not, right?",,,,,shownitem-alarmclock19,,,,,,,,time-witch_[neutral]____default_%°@#,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
monster-witch_[neutral]____intro_%°c@#met-monster-witch,monster-witch,neutral,TRUE,"A short, energetic witch whose safety equipment probably weighs more than her is standing alone against a hurricane of critters of various shapes and sizes.",,,,intro,,met-monster-witch,,,,,,,monster-witch_[neutral]___intro-2__%°c@#,,,,,,
monster-witch_[neutral]___intro-2__%°c@#,monster-witch,neutral,TRUE,"What’s worse, she seems to be winning.",,,,,intro-2,,,,,,,,monster-witch_[neutral]____default_%°@#,,,,,,
monster-witch_[neutral]____default_%°@#,monster-witch,neutral,FALSE,What can I do for ya?,,,,default,,,What is it you do here?,Do you know anything about the murder?,I need to show you something.,Gotta go.,,,monster-witch_[neutral]___interview__%°c@#,monster-witch_[neutral]___opinion__%°c@#,monster-witch_[neutral]____showingitem_%°@#,monster-witch_[neutral]___goodbye__%°@#,,,
monster-witch_[neutral]___interview__%°c@#,monster-witch,neutral,TRUE,A puzzlingly colorful imp comes at you with sharp claws and gnashing teeth.,,,,,interview,,,,,,,,monster-witch_[displeased]___interview-2__%°c@#,,,,,,
monster-witch_[displeased]___interview-2__%°c@#,monster-witch,displeased,TRUE,"A hand, wrapped in a glove as thick as your arm, grabs it an inch before it reaches your face.",,,,,interview-2,,,,,,,,monster-witch_[angry]___interview-3__%°@#,,,,,,
monster-witch_[angry]___interview-3__%°@#,monster-witch,angry,FALSE,Bertrand!! What did I tell you about eating guests?! Play nice!,,,,,interview-3,,,,,,,,monster-witch_[angry]___interview-4__%°c@#,,,,,,
monster-witch_[angry]___interview-4__%°c@#,monster-witch,angry,TRUE,"She admonishes the creature. From what you gather, its television privileges have been revoked, and it will not be tasting ice cream for the foreseeable future.",,,,,interview-4,,,,,,,,monster-witch_[displeased]___interview-5__%°c@#,,,,,,
monster-witch_[displeased]___interview-5__%°c@#,monster-witch,displeased,TRUE,It seems to be sulking.,,,,,interview-5,,,,,,,,monster-witch_[happy]___interview-6__%°@#,,,,,,
monster-witch_[happy]___interview-6__%°@#,monster-witch,happy,FALSE,"Hi, hi, hello hi!! It’s a pleasure to meet you! Everyone around calls me Mrs. Ink!",,,,,interview-6,,,,,,,,monster-witch_[neutral]___interview-7__%°@#,,,,,,
monster-witch_[neutral]___interview-7__%°@#,monster-witch,neutral,FALSE,"This is my menagerie!! Don’t worry, they’re friendly, they don’t bite. Well, unless they’re REALLY hungry, or they’re just feeling extra playful.",,,,,interview-7,,,,,,,,monster-witch_[neutral]___interview-8__%°c@#,,,,,,
monster-witch_[neutral]___interview-8__%°c@#,monster-witch,neutral,TRUE,"Some clown-colored… thing lunges at her, and she catches it mid-air.",,,,,interview-8,,,,,,,,monster-witch_[happy]___interview-9__%°@#,,,,,,
monster-witch_[happy]___interview-9__%°@#,monster-witch,happy,FALSE,"Why YES Geoffrey, of COURSE I mean you! Who’s a perfectly demonic little guy? Yes you are, yes you are!",,,,,interview-9,,,,,,,,monster-witch_[neutral]____default_%°@#,,,,,,
monster-witch_[neutral]___opinion__%°c@#,monster-witch,neutral,TRUE,"She tries to keep it down for a few seconds, fails miserably, and starts crying uncontrollably.",,,,,opinion,,,,,,,,monster-witch_[sad]___opinion-2__%°@#,,,,,,
monster-witch_[sad]___opinion-2__%°@#,monster-witch,sad,FALSE,I CAN’T BELIEVE SHE’S DEAD!!,,,,,opinion-2,,,,,,,,monster-witch_[sad]___opinion-3__%°@#,,,,,,
monster-witch_[sad]___opinion-3__%°@#,monster-witch,sad,FALSE,"That poor, poor girl! I loved her like a daughter and I’ll never get to talk to her again…",,,,,opinion-3,,,,,,,,monster-witch_[sad]___opinion-4__%°@#,,,,,,
monster-witch_[sad]___opinion-4__%°@#,monster-witch,sad,FALSE,"If there’s anything I can do to help you, just say the word! I promise I’ll do whatever I can.",,,,,opinion-4,,,,,,,,monster-witch_[neutral]___opinion-5__%°c@#,,,,,,
monster-witch_[neutral]___opinion-5__%°c@#,monster-witch,neutral,TRUE,Her attention briefly turns to the assortment of monsters crowding at her feet expectantly.,,,,,opinion-5,,,,,,,,monster-witch_[neutral]___opinion-6__%°@#,,,,,,
monster-witch_[neutral]___opinion-6__%°@#,monster-witch,neutral,FALSE,"And they’ll help too, of course!",,,,,opinion-6,,,,,,,,monster-witch_[neutral]____default_%°@#,,,,,,
monster-witch_[neutral]____showingitem_%°@#,monster-witch,neutral,FALSE,"Oh goodie! It’s still alive, I hope?",,,,showingitem,,,,,,,,,[clues],,,,,,
monster-witch_[displeased]____shownitem-other_%°c@#,monster-witch,displeased,TRUE,The imp known as “Bertrand” tries to wrestle it out of your hand.,,,,shownitem-other,,,,,,,,,monster-witch_[angry]___shownitem-other-2__%°@#,,,,,,
monster-witch_[angry]___shownitem-other-2__%°@#,monster-witch,angry,FALSE,"Put that down! You don't know where it's been! Though I confess, dearie, I’ve no clue what you want me to do with this.",,,,,shownitem-other-2,,,,,,,,monster-witch_[neutral]____default_%°@#,,,,,,
monster-witch_[neutral]____shownitem-tod-none_%°@#,monster-witch,neutral,FALSE,"Yes, dearie? You’ll want to know if I heard anything, I suppose.",,,,shownitem-tod-none,,,,,,,,,monster-witch_[happy]___shownitem-tod-2__%°@#,,,,,,
monster-witch_[neutral]____shownitem-tod-any_%°@#,monster-witch,neutral,FALSE,"Yes, dearie? You’ll want to know if I heard anything, I suppose.",,,,shownitem-tod-any,,,,,,,,,monster-witch_[happy]___shownitem-tod-2__%°@#,,,,,,
monster-witch_[happy]___shownitem-tod-2__%°@#,monster-witch,happy,FALSE,"Makes sense, my room’s right next to the hallway at night. We’ll, I’m happy to report I heard absolutely nothing!",,,,,shownitem-tod-2,,,,,,,,monster-witch_[sad]___shownitem-tod-3__%°@#,,,,,,
monster-witch_[sad]___shownitem-tod-3__%°@#,monster-witch,sad,FALSE,"Oh, that’s not the answer you were looking, for, was it. Oh, dearie me. Oh, I’m so sorry sweetie.",,,,,shownitem-tod-3,,,,,,,,monster-witch_[neutral]___shownitem-tod-4__%°@#,,,,,,
monster-witch_[neutral]___shownitem-tod-4__%°@#,monster-witch,neutral,FALSE,"Wait! Maybe this’ll help you a little. I like when things are done just right, so I always wake up on the same schedule.",,,,,shownitem-tod-4,,,,,,,,monster-witch_[happy]___shownitem-tod-5__%°@#,,,,,,
monster-witch_[happy]___shownitem-tod-5__%°@#,monster-witch,happy,FALSE,"And I always wake up a little before morning, to get to the kitchen ahead of everyone else and fetch some treats for my little monsters.",,,,,shownitem-tod-5,,,,,,,,monster-witch_[neutral]___shownitem-tod-6__%°@#tod-beforemorning,,,,,,
monster-witch_[neutral]___shownitem-tod-6__%°@#tod-beforemorning,monster-witch,neutral,FALSE,"That’s when I found the body! Whatever killed the poor girl, it must have happened before morning.",,,,,shownitem-tod-6,tod-beforemorning,,,,,,,monster-witch_[happy]___shownitem-tod-7__%°@#,,,,,,
monster-witch_[happy]___shownitem-tod-7__%°@#,monster-witch,happy,FALSE,"Gosh, did I just help the investigation? Maybe I should be a detective! ",,,,,shownitem-tod-7,,,,,,,,monster-witch_[neutral]___shownitem-tod-8__%°@#,,,,,,
monster-witch_[neutral]___shownitem-tod-8__%°@#,monster-witch,neutral,FALSE,"I don’t have your dashing good looks though, I’m told those help.",,,,,shownitem-tod-8,,,,,,,,monster-witch_[neutral]____default_%°@#,,,,,,
monster-witch_[sad]____shownitem-tiptongue_%°@#,monster-witch,sad,FALSE,"Oh, poor thing! I’ve been hearing that poor creature whine like that for days! Temmie’s always too busy to come and ask for help herself.",,,,shownitem-tiptongue,,,,,,,,,monster-witch_[neutral]___shownitem-tiptongue-2__%°@#,,,,,,
monster-witch_[neutral]___shownitem-tiptongue-2__%°@#,monster-witch,neutral,FALSE,"Say, I can’t bear to sit around and do nothing hearing it suffer like that!",,,,,shownitem-tiptongue-2,,,,,,,,monster-witch_[neutral]___shownitem-tiptongue-3__%°@#honey,,,,,,
monster-witch_[neutral]___shownitem-tiptongue-3__%°@#honey,monster-witch,neutral,FALSE,Could you take this to him? I’m sure he’ll know what to do with it.,,,,,shownitem-tiptongue-3,honey,,,,,,,monster-witch_[happy]___shownitem-tiptongue-4__%°@#,,,,,,
monster-witch_[happy]___shownitem-tiptongue-4__%°@#,monster-witch,happy,FALSE,It should help! I mean. I hope!,,,,,shownitem-tiptongue-4,,,,,,,,monster-witch_[neutral]____default_%°@#,,,,,,
monster-witch_[displeased]____shownitem-mingling_%°@#,monster-witch,displeased,FALSE,Oh. Ooh. And they… really? In this house? And… Together? Oh. Oh my.,,,,shownitem-mingling,,,,,,,,,monster-witch_[displeased]___shownitem-mingling-2__%°c@#,,,,,,
monster-witch_[displeased]___shownitem-mingling-2__%°c@#,monster-witch,displeased,TRUE,Her face goes redder than her carpets.,,,,,shownitem-mingling-2,,,,,,,,monster-witch_[neutral]____default_%°@#,,,,,,
monster-witch_[neutral]____shownitem-depart_%°@#,monster-witch,neutral,FALSE,"Well of course vicky wanted to leave! She’s still young, you know, barely a few centuries old.",,,,shownitem-depart,,,,,,,,,monster-witch_[sad]___shownitem-depart-2__%°@#,,,,,,
monster-witch_[sad]___shownitem-depart-2__%°@#,monster-witch,sad,FALSE,Not like these old bones. There’s no other place I could go where I could raise this brood of mine.,,,,,shownitem-depart-2,,,,,,,,monster-witch_[neutral]___shownitem-depart-3__%°@#,,,,,,
